scenario_idx,pooled_k25,safety_barrier_k25,safety_barrier_mass_k25,propagation_node_k25,propagation_node_mass_k25,other_k25,other_mass_k25,pooled_k50,safety_barrier_k50,safety_barrier_mass_k50,propagation_node_k50,propagation_node_mass_k50,other_k50,other_mass_k50,pooled_k100,safety_barrier_k100,safety_barrier_mass_k100,propagation_node_k100,propagation_node_mass_k100,other_k100,other_mass_k100
78,0.017255156814636984,0.016085334096901875,0.8830177,0.0011698227177351077,0.116982274,0.0,0.0,0.06755938362851571,0.06676168331438556,0.92023,0.0007977003141301553,0.07977003,0.0,0.0,0.09612169104233098,0.09513397492123096,0.87293977,0.0009877161211000224,0.12706022,0.0,0.0
79,0.06162508088223555,0.06044698961695194,0.8821908,0.0011780912652836148,0.117809124,0.0,0.0,0.08978077984500557,0.08897369687566835,0.86228514,0.0008070829693372395,0.13771492,0.0,0.0,0.15064619886218636,0.14090770196905464,0.8240479,0.0011773069284235257,0.16653475,0.008561189964708168,0.009417311
80,0.11260650085591571,0.11183091456488302,0.88316196,0.0007755862910326821,0.116838045,0.0,0.0,0.15962344098574693,0.15902775046685758,0.9008964,0.0005956905188893702,0.09910356,0.0,0.0,0.15399623131637757,0.13618731513420562,0.85383934,0.0005000101840806195,0.12712084,0.017308905998091362,0.019039802
81,0.024878640998163126,0.024878640998163126,1.0,0.0,0.0,0.0,0.0,0.03327616754488679,0.03269397823180094,0.8843035,0.0005821893130858553,0.11569649,0.0,0.0,0.0783642526131997,0.07787143716197177,0.8917734,0.0004928154512279207,0.10822669,0.0,0.0
82,0.034996438145778984,0.03382882233380675,0.88323843,0.0011676158119722424,0.11676158,0.0,0.0,0.10079010970250024,0.09999112649112486,0.9201017,0.0007989832113753652,0.07989832,0.0,0.0,0.13270236340646102,0.10626875438041515,0.83490473,0.0010867047633609825,0.13721366,0.025346904262684884,0.0278816
83,0.27955742858486243,0.24390507245947632,0.8846345,0.0007699480933338093,0.07699481,0.03488240803205227,0.038370658,0.30033516303546925,0.19429105347798084,0.8247488,0.0003984933390580732,0.05904096,0.10564561621843035,0.1162102,0.3467398786578949,0.19578580099905352,0.7654361,0.0004938573408772191,0.069057584,0.15046022031796424,0.16550629
84,0.2692358763204052,0.2692358763204052,1.0,0.0,0.0,0.0,0.0,0.2944222896409598,0.20583470597691925,0.86334515,0.0003964455092757925,0.039644554,0.08819113815476479,0.09701028,0.32045547407717584,0.15181410134541493,0.727775,0.00068198052505575,0.08746973,0.1679593922067051,0.18475537
85,0.010000000431198253,0.008839776972292683,0.88397765,0.001160223458905569,0.11602234,0.0,0.0,0.05910038776987596,0.05849099155110808,0.90112484,0.0006093962187678711,0.09887509,0.0,0.0,0.09079829012852966,0.08991361023070138,0.8630513,0.0008846798978282706,0.13694872,0.0,0.0
86,0.017480105702407014,0.01632013811285232,0.8840032,0.0011599675895546922,0.115996756,0.0,0.0,0.08423046401028035,0.08362691464987883,0.881758,0.0006035493604015013,0.11824201,0.0,0.0,0.10267018917099308,0.10179088203075698,0.82378113,0.0008793071402360942,0.1762189,0.0,0.0
87,0.03131898723308905,0.030167156319355563,0.80736613,0.0011518309137334838,0.1926338,0.0,0.0,0.07061865381689983,0.0698252804020333,0.80393773,0.0007933734148665386,0.1960623,0.0,0.0,0.0670679146740452,0.06627599413077205,0.8126918,0.0007919205432731583,0.18730822,0.0,0.0
