scenario_idx,pooled_k25,safety_barrier_k25,safety_barrier_mass_k25,propagation_node_k25,propagation_node_mass_k25,other_k25,other_mass_k25,pooled_k50,safety_barrier_k50,safety_barrier_mass_k50,propagation_node_k50,propagation_node_mass_k50,other_k50,other_mass_k50,pooled_k100,safety_barrier_k100,safety_barrier_mass_k100,propagation_node_k100,propagation_node_mass_k100,other_k100,other_mass_k100
139,0.13281871854259517,0.13202025713465904,0.92015386,0.0007984614079361631,0.079846136,0.0,0.0,0.1352338262819598,0.1342425725897224,0.9008746,0.0009912536922374326,0.09912537,0.0,0.0,0.15448815141541636,0.11848416022166545,0.7599919,0.0016498714555872698,0.20221856,0.03435411973816362,0.03778951
140,0.26192220598110744,0.2615210445558097,0.92140067,0.00040116142529774004,0.07859937,0.0,0.0,0.18502527571804037,0.18423948428717482,0.8054608,0.0007857914308655229,0.1945392,0.0,0.0,0.20265457516548044,0.16705969028856216,0.7648913,0.0008865642642848527,0.19692945,0.03470832061263341,0.038179133
141,0.00838987221708092,0.007604857124652585,0.8001386,0.0007850150924283367,0.19986145,0.0,0.0,0.03915787444585205,0.03816997310268168,0.76236314,0.0009879013431703695,0.23763688,0.0,0.0,0.05402275978063564,0.053413265627936836,0.71292335,0.0006094941526988154,0.2870766,0.0,0.0
142,0.07068263508164065,0.06990173163224067,0.9219097,0.0007809034493999764,0.07809035,0.0,0.0,0.1166065837461417,0.11619969931771496,0.9025377,0.00040688442842674416,0.09746245,0.0,0.0,0.12124245680890433,0.09446627158690266,0.82505745,0.0009752579832269941,0.1465615,0.025800927238774703,0.028381001
143,0.039093142233816075,0.03869637191594339,0.84404844,0.0003967703178726771,0.15595151,0.0,0.0,0.11589092495910633,0.11529857220841726,0.8423495,0.0005923527506890791,0.15765047,0.0,0.0,0.09440320302089825,0.09380687644212053,0.7843436,0.0005963265787777314,0.21565655,0.0,0.0
144,0.09979212022815921,0.09860197720198102,0.56051683,0.001190143026178186,0.4394831,0.0,0.0,0.08555283780694085,0.08455459525032866,0.6574897,0.000998242556612205,0.3425103,0.0,0.0,0.07041370590345104,0.06931439916203051,0.6208061,0.0010993067414205129,0.3791939,0.0,0.0
145,0.009229527589004903,0.008429624213740336,0.8429623,0.0007999033752645657,0.15703759,0.0,0.0,0.053945499593637786,0.053339467856999175,0.8430678,0.0006060317366386128,0.15693204,0.0,0.0,0.04709731269093927,0.046204957709636854,0.75597036,0.000892354981302429,0.24402955,0.0,0.0
146,0.10192599273363355,0.10112150794843064,0.9195515,0.0008044847852028878,0.08044848,0.0,0.0,0.13641527199179235,0.10093909523333186,0.82537484,0.0013710965133659774,0.13710965,0.034105080245094496,0.037515566,0.1804203170905987,0.100762880706287,0.70948434,0.0016708843352568473,0.20473056,0.07798655204905489,0.085785165
147,0.07144779332002632,0.07063797175409926,0.8808619,0.0008098215659270533,0.1191381,0.0,0.0,0.0716636166203289,0.07124067122333096,0.8615601,0.0004229453969979266,0.13843986,0.0,0.0,0.08711043598838104,0.08622163614915843,0.8127169,0.0008887998392226095,0.18728305,0.0,0.0
148,0.07013499775677859,0.0693413549962788,0.84298664,0.0007936427604997823,0.15701327,0.0,0.0,0.05556126336081189,0.05495703617721596,0.82275105,0.0006042271835959283,0.17724885,0.0,0.0,0.10145530961281363,0.10047102621351366,0.7838587,0.0009842833992999942,0.21614125,0.0,0.0
149,0.10095220376865814,0.10013833629523988,0.7593123,0.0008138674734182507,0.2406877,0.0,0.0,0.07083301342449537,0.07002128683384265,0.7406034,0.0008117265906527187,0.25939652,0.0,0.0,0.07040238019193515,0.06939915193007766,0.7024128,0.001003228261857472,0.29758725,0.0,0.0
150,0.2271515900944802,0.2263471359179224,0.8792822,0.0008044541765577907,0.12071781,0.0,0.0,0.1836927346526268,0.18307964928249065,0.9177787,0.0006130853701361633,0.082221374,0.0,0.0,0.20846512663660718,0.18114312937454033,0.79387414,0.0011816570814666087,0.1773715,0.026140340180600245,0.028754355
151,0.19476681785579064,0.1939697040093308,0.84229666,0.000797113846459768,0.15770331,0.0,0.0,0.166449254379667,0.16546217124244525,0.86091924,0.000987083137221732,0.13908078,0.0,0.0,0.17093108539908286,0.13485066592834008,0.72689253,0.0013756338718291284,0.23493212,0.03470478559891367,0.038175244
152,0.04089317969412595,0.03972201790779086,0.88288385,0.0011711617863350823,0.11711618,0.0,0.0,0.1388047290504396,0.06963725555526436,0.7894954,0.0013591541216196234,0.13591541,0.06780831937355562,0.0745891,0.18274342276154304,0.07657308186454345,0.69991857,0.0016646618721827123,0.18512525,0.1045056790248169,0.11495617
153,0.10188030726000208,0.10108759136726965,0.9207283,0.0007927158927324165,0.07927159,0.0,0.0,0.11829744703910464,0.11788563368418926,0.92006564,0.00041181335491534464,0.079934314,0.0,0.0,0.11218006577304833,0.10244161016702773,0.7960836,0.0011701371100149066,0.19449125,0.008568318496005697,0.009425145
154,0.04015032412700798,0.03936899990792689,0.92186755,0.0007813242190810912,0.07813242,0.0,0.0,0.06929143833701135,0.06850656415854924,0.8827961,0.0007848741784620957,0.11720385,0.0,0.0,0.10636165828139739,0.053852735801843334,0.76809376,0.0011713715371778506,0.17543499,0.05133755094237619,0.056471273
155,0.00999999990825437,0.009231004131342459,0.9231004,0.000768995776911911,0.07689958,0.0,0.0,0.0539275914326557,0.05315493778195184,0.8657846,0.0007726536507038482,0.13421535,0.0,0.0,0.06371804222061558,0.053939072046536286,0.81615907,0.0012556347686699676,0.17446536,0.008523335405409335,0.0093756635
