model,corpus_unit,role_scope,k,term,coef_log_odds_per_sd,std_error,odds_ratio_per_sd,ci_lower,ci_upper,or_ci_lower,or_ci_upper,p_value,n_observations,n_scenarios,converged,q_value
DeepSeek,family,all_reviewed_roles,100,z_propagation_node_k100,0.05121387289864755,0.08146973580582002,1.0525479806998947,-0.10846387511075296,0.21089162090804808,0.8972113058906007,1.234778523634108,0.5295949090723111,1276,319,True,0.7303027071025694
DeepSeek,family,all_reviewed_roles,100,z_other_k100,0.2431431590820048,0.08069293567349842,1.2752511748387665,0.08498791135514056,0.401298406808869,1.0887039056639767,1.4937629510347263,0.002585168797472458,1276,319,True,
KimiMV,family,all_reviewed_roles,25,z_safety_barrier_k25,-0.06855811950347564,0.11474157882561596,0.9337391900683618,-0.2934474815309466,0.15633124252399533,0.7456883842480749,1.1692134321613192,0.5501734548507484,1232,308,True,0.5501734548507484
KimiMV,family,all_reviewed_roles,25,z_propagation_node_k25,0.0509362689241747,0.10114209714527879,1.0522558297501377,-0.14729859880142315,0.24917113664977253,0.8630362373517393,1.2829615760292608,0.6145347872835643,1232,308,True,0.7303027071025694
KimiMV,family,all_reviewed_roles,25,z_other_k25,-0.13160281881315236,0.0879817651074879,0.876689130367699,-0.30404390972009143,0.04083827209378671,0.7378284678977898,1.0416836226104291,0.13470668630701016,1232,308,True,
KimiMV,family,all_reviewed_roles,50,z_safety_barrier_k50,-0.07949496988107177,0.10339622685226,0.9235826656875706,-0.28214785064883463,0.12315791088669109,0.7541621729231669,1.1310630140096696,0.44198936305015846,1232,308,True,0.5303872356601901
KimiMV,family,all_reviewed_roles,50,z_propagation_node_k50,0.04677085815677068,0.0963735183387324,1.0478818679848032,-0.14211776685055524,0.2356594831640966,0.8675190854793599,1.2657432298962898,0.6274577437589515,1232,308,True,0.7303027071025694
KimiMV,family,all_reviewed_roles,50,z_other_k50,0.0198285248749248,0.09617378010657157,1.020026415872372,-0.1686686203910302,0.20832567014087983,0.844788802790126,1.2316142042142113,0.8366550620328237,1232,308,True,
KimiMV,family,all_reviewed_roles,100,z_safety_barrier_k100,-0.19981526242928987,0.1160050955813602,0.8188820173800408,-0.4271810717918824,0.027550546933302666,0.6523454201788742,1.0279335726838315,0.0849844666580044,1232,308,True,0.12747669998700661
KimiMV,family,all_reviewed_roles,100,z_propagation_node_k100,0.16319436677250562,0.09191242352795548,1.1772654887457092,-0.01695067307407902,0.34333940661909024,0.9831921812866968,1.4096471243067508,0.07580843980445422,1232,308,True,0.45485063882672533
KimiMV,family,all_reviewed_roles,100,z_other_k100,0.19037326641009122,0.09848005874503675,1.2097010541650066,-0.002644101925569603,0.3833906347457521,0.9973593906330217,1.4672510773865841,0.05322204809171486,1232,308,True,
DeepSeek,publication,direct_partial_only,50,z_safety_barrier_k50,-0.2976554924638588,0.08908205633826186,0.7425571122086456,-0.4722531145556201,-0.12305787037209753,0.6235956518038291,0.8842124913742982,0.0008336812976800854,1276,319,True,
