condition,speed_mps,delay_ms,offset_m,rescue_c1,rescue_c2,n,n_propagated,rate,wilson_lo,wilson_hi,local_pass_rate,min_margin_median_m,min_margin_p05_m,stop_latency_median_s,peak_force_median_n,peak_force_max_n,n_contained,n_ordinary_failure,n_breach_unordered,n_unresolved
C1,0.3,150,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,-0.030922146507811027,-0.03582525812130505,0.14999999999998348,0.0,0.0,0,0,50,0
C1,0.3,200,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,-0.042922146507810816,-0.04782525812130484,0.19999999999997797,0.0,0.0,0,0,50,0
C1,0.45,25,0.0,False,False,50,36,0.72,0.5833487630404344,0.8252582933408878,1.0,-0.003384920092584759,-0.008704458952143617,0.030000000000000027,0.0,0.0,14,0,0,0
C1,0.45,50,0.0,False,False,50,50,1.0,0.9286524008666414,1.0,1.0,-0.012384920092584878,-0.017704458952143738,0.050000000000000044,0.0,0.0,0,0,0,0
C1,0.45,75,0.0,False,False,50,50,1.0,0.9286524008666414,1.0,1.0,-0.021384920092584997,-0.026704458952143857,0.08000000000000007,0.0,0.0,0,0,0,0
C1,0.45,100,0.0,False,False,50,50,1.0,0.9286524008666414,1.0,1.0,-0.030384920092585116,-0.035704458952143976,0.10000000000000009,0.0,0.0,0,0,0,0
C1,0.45,150,0.0,False,False,50,15,0.3,0.19103553500880954,0.437503504644534,1.0,-0.05738492009258547,-0.06270445895214433,0.15000000000000013,0.0,0.0,0,0,35,0
C1,0.45,200,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,-0.07538492009258571,-0.08070445895214456,0.20000000000000018,0.0,0.0,0,0,50,0
C2,0.15,0,-0.06,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,-0.04127331095783007,-0.0445003836061017,0.39999999999995595,0.0,0.0,0,0,50,0
C2,0.15,0,-0.03,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,-0.011061682969831704,-0.01400292122148157,0.19999999999997797,0.0,0.0,0,0,50,0
C2,0.15,0,0.03,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.04869646439756897,0.04530756751753397,-0.19999999999997842,0.0,0.0,50,0,0,0
C2,0.15,0,0.06,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.0783663719931417,0.07546839209022094,-0.39999999999995617,0.0,0.0,50,0,0,0
C2,0.3,0,-0.06,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,-0.042922146507810816,-0.04729848224647245,0.19999999999997797,0.0,0.0,0,0,50,0
C2,0.3,0,-0.03,False,False,50,50,1.0,0.9286524008666414,1.0,1.0,-0.012817524620107656,-0.016709991366251075,0.09999999999998899,0.0,0.0,0,0,0,0
C2,0.3,0,0.03,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.04731490967165364,0.043548893477003435,-0.09999999999998899,0.0,0.0,50,0,0,0
C2,0.3,0,0.06,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.07691815658896517,0.07270151775352554,-0.1999999999999842,0.0,0.0,50,0,0,0
C2,0.45,0,-0.06,False,False,50,49,0.98,0.8950455641036219,0.9964607407283539,1.0,-0.044366971125355564,-0.04994872329567022,0.14000000000000012,0.0,0.0,0,0,1,0
C2,0.45,0,-0.03,False,False,50,50,1.0,0.9286524008666414,1.0,1.0,-0.015210730156507951,-0.0195900321147111,0.06000000000000005,0.0,0.0,0,0,0,0
C2,0.45,0,0.03,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.04604648509397831,0.040569922269685574,-0.06000000000000005,0.0,0.0,50,0,0,0
C2,0.45,0,0.06,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.07536637199312046,0.07025040994033532,-0.14000000000000012,0.0,0.0,50,0,0,0
C3,0.15,0,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.019082572904862843,0.015862166798098647,,0.0,0.0,0,50,0,0
C3,0.3,0,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.017077853492188128,0.01217474187869411,,0.0,0.0,0,50,0,0
C3,0.45,0,0.0,False,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,-0.02306168296985281,-0.02627965451014174,,0.0,0.0,0,50,0,0
C4,0.15,0,-0.06,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.019082572904862843,0.015862166798098647,0.0,0.0,0.0,50,0,0,0
C4,0.15,0,-0.03,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.019082572904862843,0.015862166798098647,0.0,0.0,0.0,50,0,0,0
C4,0.15,0,0.03,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.04869646439756897,0.04530756751753397,-0.19999999999997842,0.0,0.0,50,0,0,0
C4,0.15,0,0.06,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.0783663719931417,0.07546839209022094,-0.39999999999995617,0.0,0.0,50,0,0,0
C4,0.15,25,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-4.009999999999777,0.0,0.0,50,0,0,0
C4,0.15,50,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-3.989999999999777,0.0,0.0,50,0,0,0
C4,0.15,75,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-3.959999999999777,0.0,0.0,50,0,0,0
C4,0.15,100,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-3.939999999999777,0.0,0.0,50,0,0,0
C4,0.15,150,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.5990620588494783,0.5815393822657817,-3.8899999999997767,0.0,0.0,50,0,0,0
C4,0.15,200,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.5952797427102349,0.5777832018403727,-3.839999999999777,0.0,0.0,50,0,0,0
C4,0.3,0,-0.06,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.017077853492188128,0.01217474187869411,0.0,0.0,0.0,50,0,0,0
C4,0.3,0,-0.03,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.017077853492188128,0.01217474187869411,0.0,0.0,0.0,50,0,0,0
C4,0.3,0,0.03,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.04731490967165364,0.043548893477003435,-0.09999999999998899,0.0,0.0,50,0,0,0
C4,0.3,0,0.06,False,True,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.07691815658896517,0.07270151775352554,-0.1999999999999842,0.0,0.0,50,0,0,0
C4,0.3,25,0.0,True,False,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.0,0.6010040588494783,0.5834742594460041,-2.1099999999999857,0.0,0.0,50,0,0,0
