"doc_id","dominant_topic","max_prob"
1934,12,0.266378361149206
1935,4,0.845559729034726
1937,12,0.339733082501242
1939,2,0.522813507943442
1940,4,0.442854485140544
1943,4,0.831155405255013
1945,4,0.442458175311335
1951,8,0.47677125673091
1958,7,0.507987363557345
1960,4,0.468035633820129
1971,4,0.649687726045097
1975,8,0.357149180389693
1976,12,0.461523859096669
1981,9,0.281150625266775
1982,9,0.461595171373326
1991,4,0.461099290886524
1994,2,0.447937734987414
2001,4,0.447297125253509
2005,5,0.485781211338197
2014,11,0.888795085962206
2019,6,0.416727649996178
2020,7,0.500648629757016
2023,1,0.411238634414579
2028,10,0.291596168985185
2031,5,0.736265763331034
2033,11,0.286679103612163
2034,2,0.33469535660186
2037,11,0.73392289112332
2040,6,0.388817237541208
2042,4,0.732366758509254
2044,8,0.492722502570935
2046,1,0.38525885981393
2051,4,0.695514482131062
2053,4,0.304875159368916
2054,7,0.393833918937035
2058,5,0.587056374408076
2059,1,0.425913656079932
2063,4,0.612494531208291
2064,1,0.580089649203369
2067,4,0.719591504074541
2068,11,0.815246652359048
2069,4,0.655936010629618
2074,4,0.385943739668401
2076,1,0.859826777704973
2079,11,0.617443123792359
2080,10,0.554803041957611
2086,1,0.76257210223838
2087,1,0.557072832620272
2088,4,0.836751624535959
2096,4,0.392560327608465
2098,4,0.654256698076517
2099,12,0.372938842545087
2105,2,0.489056771656943
2110,1,0.368684690684487
2111,6,0.493460176280578
2116,9,0.417115603612041
2117,8,0.261892719476136
2120,12,0.634499286991049
2125,1,0.915275017005951
2127,4,0.354553072652044
2130,5,0.69381890035831
2132,5,0.478909999911431
2133,1,0.790057049249996
2138,9,0.792028596338527
2142,6,0.633749536322633
2143,5,0.584467748817115
2146,9,0.330472852210991
2148,7,0.732827320953441
2149,7,0.610491466342794
2150,1,0.598269643175786
2155,6,0.771059945654349
2157,12,0.212695142011061
2161,9,0.486896774692468
2163,1,0.749338017329859
2169,5,0.560241407944362
2170,8,0.284962646570846
2171,4,0.836647244048422
2174,5,0.918826285474379
2178,12,0.40139442681189
2180,5,0.720540928175687
2183,9,0.367013648579713
2190,11,0.864633433054425
2197,5,0.903052784131125
2204,4,0.528595187938543
2205,4,0.53457498944877
2207,4,0.550912866082978
2208,5,0.547191546765678
2211,1,0.514829469840602
2215,9,0.45248083655845
2219,11,0.443717012628589
2225,4,0.734627193538402
2226,4,0.311393978522608
2231,4,0.969583915496145
2232,4,0.593245985273034
2234,11,0.885390930064333
2238,4,0.657987959872579
2239,5,0.614852005924342
2244,7,0.879869733281748
2246,4,0.60211991138484
