"topic","covariate","coefficient","std_error","t_value","p_value","ci_lower","ci_upper"
8,"C10_std",0.000542027502095397,0.00399800561567765,0.135574472424428,0.89217166591153,-0.00729878126529182,0.00838283626948261
9,"C1_std",0.0279894090587243,0.0345138013269827,0.810962802780068,0.417485896881041,-0.0396983688121423,0.0956771869295909
9,"C2_std",-0.0246383276708365,0.00713860059739821,-3.45142263314415,0.00056951239388945,-0.0386384085940516,-0.0106382467476214
9,"C3_std",0.00649919485249562,0.00521387303703094,1.24651958464194,0.212723266249951,-0.00372614881898064,0.0167245385239719
9,"C4_std",0.00479197367085552,0.0246394006686862,0.194484181465727,0.845817018559249,-0.0435303268353322,0.0531142741770433
9,"C5_std",-0.0390142186771914,0.0109497931705832,-3.56300964496787,0.000375426090544054,-0.0604887343597897,-0.0175397029945931
9,"C6_std",0.0217643364854446,0.00743151092126453,2.92865565509271,0.00344376896159618,0.0071898056849149,0.0363388672859744
9,"C7_std",-0.00756039740043986,0.00798830714157391,-0.946432988422908,0.344044927054313,-0.0232269058281971,0.00810611102731737
9,"C8_std",-0.0319413629052968,0.0274242498639655,-1.1647123645583,0.244277761896911,-0.0857252540357127,0.0218425282251191
9,"C9_std",0.00948394461143026,0.00643280127261498,1.47431021253591,0.140559338208717,-0.0031319367718754,0.0220998259947359
9,"C10_std",0.0014355066516254,0.00676106594547405,0.212319575522901,0.831879892272236,-0.0118241608521609,0.0146951741554117
10,"C1_std",0.0194807396309461,0.0224049965662374,0.869481928879297,0.384690486676127,-0.0244594921738705,0.0634209714357627
10,"C2_std",-0.00402807508086389,0.00463409754136258,-0.869225355079492,0.384830745382656,-0.0131163746292087,0.00506022446748094
10,"C3_std",0.000806959134348135,0.00338464043368498,0.238417979740781,0.811581948820689,-0.00583093008792408,0.00744484835662035
10,"C4_std",-0.0353586811707428,0.0159949256862783,-2.21061865895858,0.027177834212872,-0.066727609984371,-0.00398975235711454
10,"C5_std",0.003500208986991,0.00710817322217503,0.492420327640802,0.622477609973776,-0.010440198375616,0.017440616349598
10,"C6_std",0.00297415394798263,0.00482424335399753,0.616501641758629,0.537635378322099,-0.00648705577060901,0.0124353636665743
10,"C7_std",-0.0105150972018065,0.00518569346741558,-2.02771283491366,0.0427251647245905,-0.0206851756641408,-0.000345018739472258
10,"C8_std",0.0139360278583567,0.0178027397855309,0.782802424022574,0.433838098937788,-0.0209783498620068,0.0488504055787201
10,"C9_std",0.00321491938888829,0.00417592049797043,0.769870832179586,0.441469671939135,-0.00497481249242844,0.011404651270205
10,"C10_std",-0.00881807011386957,0.00438901695751558,-2.00912190570826,0.0446616497380117,-0.0174257225157951,-0.000210417711944083
11,"C1_std",-0.0249326226471694,0.0408926564142107,-0.609709048847826,0.54212552267504,-0.105130483719946,0.0552652384256072
11,"C2_std",0.0132469067084866,0.00845795972289689,1.56620593411262,0.117462500952026,-0.00334067498210519,0.0298344883990785
11,"C3_std",-0.000953626133890672,0.00617750321590738,-0.154370803310152,0.87733333171113,-0.0130688220670608,0.0111615697992795
11,"C4_std",0.0127221060928502,0.0291932649275856,0.435789080954378,0.663037952670992,-0.0445311420504927,0.0699753542361932
11,"C5_std",0.0670565038267013,0.0129735384894063,5.16871352264126,2.59793773414072e-07,0.0416130592420116,0.0924999484113909
11,"C6_std",-0.0236537663515227,0.00880500585440128,-2.68639984375468,0.00728389346224252,-0.0409219679841969,-0.00638556471884849
11,"C7_std",-0.0200060347410432,0.009464709383263,-2.1137505580912,0.0346631243343384,-0.0385680337592667,-0.00144403572281966
11,"C8_std",0.0287907126055289,0.0324928111070705,0.886064074624309,0.375692143371051,-0.034933539608207,0.0925149648192648
11,"C9_std",0.00735038791623851,0.00762171427394431,0.964400875189804,0.334964441429352,-0.0075971659009248,0.0222979417334018
11,"C10_std",0.000854664415679656,0.00801064895989717,0.106691033392958,0.915045059686592,-0.014855660339974,0.0165649891713333
12,"C1_std",-0.0612863857297171,0.0232305797036965,-2.63817720054421,0.00840152512891835,-0.106845734695603,-0.0157270367638308
12,"C2_std",0.000540299164791945,0.00480485555849413,0.112448575865468,0.910479303677969,-0.00888288759646135,0.00996348592604524
12,"C3_std",0.00580677055735069,0.00350935824206097,1.65465311798447,0.0981556468255679,-0.0010757127399096,0.012689253854611
12,"C4_std",0.000439321268253906,0.01658430943791,0.0264901755420496,0.978869077388541,-0.0320854951882099,0.0329641377247177
12,"C5_std",0.0273643154052116,0.00737009640225752,3.71288432493633,0.000210658379329647,0.0129102295328197,0.0418184012776035
12,"C6_std",0.00548038736922096,0.00500200789648631,1.0956374885115,0.273372608451148,-0.00432945061987908,0.015290225358321
12,"C7_std",-0.00324948722054305,0.00537677678537429,-0.604355983194649,0.545677228520421,-0.0137943144698417,0.00729534002875563
12,"C8_std",0.0630464705346736,0.0184587381796416,3.41553522895777,0.000649600188183995,0.0268455618650375,0.0992473792043097
12,"C9_std",-0.00260344041741861,0.00432979552920742,-0.601284841248654,0.547720102025754,-0.0110949489368856,0.00588806810204834
12,"C10_std",0.00274427678702336,0.00455074420346426,0.603039121586812,0.546552720017769,-0.00618055185972459,0.0116691054337713
