"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","doc_id"
0.107387357195521,0.000546473022634262,0.0593140021833378,6.01224306663135e-05,0.802965077079368,0.00044705944726511,0.000275029962681311,0.0106994350670159,0.00415406653002108,0.00411210109069046,0.0039529978211287,0.0060862781696701,5883
0.390875645391746,0.0025763785570294,0.00249948416978084,0.00201050725904416,0.112257988378085,0.000930141742604699,0.000128431626691211,0.00281724054046372,0.00248636016821764,0.248552185941482,0.232242826113015,0.0026228101118407,907
0.155696948887244,0.000735863399236113,0.00574842394964806,2.75734012814724e-05,0.770257464666682,0.000195761213382803,0.000108312420829608,0.00159384800287166,0.00140980697235856,0.0574489228401989,0.00243745522997184,0.00433961901629611,6233
0.00753880089488725,0.000178398036455616,0.000908727820006549,7.48685656639316e-06,0.987578112744182,4.45940592628528e-05,9.70837007209876e-06,0.000244542802360756,0.000996051500126978,0.000874009744802929,0.00115692353499056,0.000462643636286422,6267
0.000376141144842898,0.0269037808146409,0.00748410764190781,0.040372927482869,9.13700152622224e-05,0.00350437433134736,0.910338460834127,0.000343209975502261,0.00268130058730323,0.00223222792613378,0.00285018874749577,0.00282191049856706,1495
0.370083886514734,0.0055981817585714,0.00278103464576062,0.000269512488570816,0.500062545759303,0.000454882432603784,0.000231238791307499,0.00119949573771622,0.0813255332645925,0.0140893111126248,0.02284867054673,0.00105570694748439,2914
0.0012895132771478,0.0032363790898058,0.00116365330448954,0.00555269605720544,0.00361548944312601,0.00233543373445727,0.000429707517495913,0.000756952950999332,0.00194369366987539,0.00219550232955321,0.976563374492275,0.000917604133569295,6506
0.30666731745077,0.00157823812736024,0.00814947962238939,0.00105870523267334,0.605720117205171,0.000632035140250355,0.000228085674163926,0.0017151179271048,0.0150075635457833,0.0167084225340442,0.0402720256958379,0.00226289184445232,1400
0.517237371674875,0.000716819136483437,0.00785914303895162,0.00152167744265692,0.377762520070026,0.000480702023190232,0.000741123301641025,0.00908442293480194,0.00331587921078833,0.0770747521836221,0.00305981006334085,0.00114577891962162,1802
0.0129101262853947,0.00541464198864237,0.177487814301663,0.313193462930586,0.00823393264194873,0.00220746890934287,0.0129368107975179,0.0020220959169838,0.181011889530129,0.242128933344999,0.00492933682666546,0.0375234865261266,816
