bertopic_id,bertopic_name,safety_score,safety_category,decay_probability,trend_direction,current_state_name,lifecycle_stage,tmi,fit_reliable,bertopic_count,dim_safety,dim_temporal_decay,dim_lifecycle_risk,cascade_score,risk_level,variant
18,18_plate_bridge_ladder_rod,1,stability_balance,0.7777959378009404,declining,declining,saturated,0.1676,True,83,0.2,0.7777959378009404,0.6,0.9333551253611284,NON_SAFETY,full_2026_raw
19,19_joint_wrist_connecting_knee joint,0,not_safety,0.01,growing,mature,growing,0.1906,True,73,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
20,20_layer_skin_textile_bionic,0,not_safety,0.01,mature,mature,mature,0.3259,True,64,0.0,0.01,0.35,0.0,NON_SAFETY,full_2026_raw
21,21_decision_semantic information_semantic_information,0,not_safety,0.01,mature,mature,growing,0.1339,True,65,0.0,0.01,0.1,0.0,NON_SAFETY,full_2026_raw
22,22_force_external force_human robot_robot,5,collision_protection,0.8000000000021171,declining,declining,saturated,0.37,True,49,1.0,0.8000000000021171,0.6,4.8000000000127026,HIGH,full_2026_raw
23,23_image_vehicle_images_camera,0,not_safety,0.21917738415090687,declining,declining,mature,0.4418,True,64,0.0,0.21917738415090687,0.35,0.0,NON_SAFETY,full_2026_raw
24,24_massage_mi_bed_mi mi,0,not_safety,0.6363636363616778,declining,declining,saturated,0.2564,True,73,0.0,0.6363636363616778,0.6,0.0,NON_SAFETY,full_2026_raw
25,25_industrial robot_industrial_tool_work,4,risk_assessment,0.01,growing,growing,declining,0.1687,True,38,0.8,0.01,1.0,0.08,HIGH,full_2026_raw
26,26_face_image_video_frame,0,not_safety,0.01,growing,growing,mature,0.3359,True,58,0.0,0.01,0.35,0.0,NON_SAFETY,full_2026_raw
27,27_path_navigation_obstacle_point,3,safe_control,0.01,mature,mature,growing,0.0696,True,54,0.6,0.01,0.1,0.006,LOW,full_2026_raw
28,28_tobacco_robotic_operation_shelf,2,safe_control,1.5568876512848212e-34,declining,declining,growing,0.1165,True,51,0.4,1.5568876512848212e-34,0.1,6.227550605139285e-35,LOW,full_2026_raw
29,29_module_intelligent_service_display,3,collision_protection,2.393872018177671e-29,declining,declining,mature,0.2467,True,57,0.6,2.393872018177671e-29,0.35,5.027131238173109e-29,LOW,full_2026_raw
30,30_inspection_detection_disease_tunnel,1,thermal_management,0.01,mature,mature,mature,0.0,True,50,0.2,0.01,0.35,0.006999999999999999,NON_SAFETY,full_2026_raw
31,31_lamp_light_display_led,0,not_safety,0.01,nascent,nascent,saturated,0.2491,True,54,0.0,0.01,0.6,0.0,NON_SAFETY,full_2026_raw
32,32_action_data_sequence_motion,2,safe_control,0.01,growing,mature,growing,0.0,True,41,0.4,0.01,0.1,0.004,LOW,full_2026_raw
33,33_path_grid_map_point,2,collision_protection,0.01,growing,mature,growing,0.0,True,48,0.4,0.01,0.1,0.004,LOW,full_2026_raw
34,34_commands_position sensor_position velocity_velocity,0,not_safety,0.01,growing,growing,declining,0.0,True,10,0.0,0.01,1.0,0.0,NON_SAFETY,full_2026_raw
35,35_image_chess_point cloud_cloud,0,not_safety,3.133992298881528e-71,declining,declining,growing,0.1057,True,34,0.0,3.133992298881528e-71,0.1,0.0,NON_SAFETY,full_2026_raw
36,36_welding_welding robot_straightening_mechanical,0,not_safety,0.0,declining,declining,growing,0.063,True,43,0.0,0.0,0.1,0.0,NON_SAFETY,full_2026_raw
37,37_foot_sole_heel_arch,2,stability_balance,0.01,mature,mature,growing,0.1889,True,34,0.4,0.01,0.1,0.004,LOW,full_2026_raw
38,38_control_robot_core_nios,0,not_safety,7.096253988678488e-222,declining,declining,growing,0.1357,True,41,0.0,7.096253988678488e-222,0.1,0.0,NON_SAFETY,full_2026_raw
