"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","doc_id"
0.209365146251339,0.00284130867561827,0.0259043478147756,0.286067253107412,0.0683641612416291,0.0715693180591217,0.00119995696278303,0.00197548409993767,0.0165245974046401,0.205302668565728,0.10648094848843,0.00440480932858626,7490
0.00040687082073432,0.000214341015216865,0.00131214650146021,0.837100806484602,0.07510085240062,0.0782181777130328,0.000520585297969396,0.00049640400065905,0.000223190446502101,0.00482197162862674,0.000785136266123798,0.000799517424452913,73
0.00433190851684232,0.00569054009573907,0.93093188947078,0.00669496201119599,0.0022545745999158,0.00502250890158626,0.00316262622911759,0.00393056383982157,0.0108945470756356,0.00500132640871005,0.00988530391433522,0.01219924893632,7174
0.00556126076038219,0.000446809228019,0.00528089348870667,0.000392205935920976,0.00231136992741472,0.00249206512840004,0.000467494700131708,0.0011170013393182,0.00352243655482299,0.967926108278828,0.00930100633458264,0.00118134832347311,8745
0.000134854494937045,0.000120396196554953,0.00353043402429423,0.0197177056303267,0.965381264271428,0.00383444514952928,0.000417683114572821,0.000417786373645148,0.000435258758389499,0.00145317155261823,0.00250051623967369,0.00205648419403106,345
0.355616400947325,0.00165858871044014,0.00692049546712182,0.0117176116262935,0.00486241117398786,0.0055590944119441,0.0039375322046327,0.00315916681950593,0.0400842719279348,0.0135568638297104,0.00575994894378446,0.547167613937319,8502
0.000354427173969744,0.000928609053972203,0.000578878494678431,0.961898917293173,0.00482918608712697,0.0229668582667729,0.00418205210565498,0.000582280240062546,0.000337856541590621,0.00111050318011002,0.000694337686028943,0.00153609387686023,2947
0.000292986393996145,1.43875080697225e-05,0.00325271299535692,0.00321973389072721,0.971486335970558,0.00401615201746354,8.11273376096984e-06,7.33673424560373e-05,0.00034839774617275,0.0145963788572708,0.00246239248858363,0.000229042055584336,5763
0.00086653682634581,0.00108953455798217,0.304610059601741,0.00293349253506517,0.510419559767284,0.00411753262418844,0.00119924631310563,0.105837456610089,0.00145582102284677,0.022266795300764,0.0381509727486241,0.00705299209196255,620
0.00023281163303108,0.105094780850026,0.000203086546962296,0.00056988868491495,2.35951008423902e-05,0.000191707371303671,0.193633921308441,0.69455823496396,0.00305250171324266,0.000137457574452415,0.00115064187778137,0.00115137237504148,4639
