"doc_id","dominant_topic","max_prob"
2333,5,0.402726953617117
2335,5,0.277365848420755
2340,5,0.598547032739736
2346,2,0.763125979786453
2347,2,0.426352852411074
2353,5,0.519024372083251
2355,12,0.328434257521062
2357,11,0.367854543554304
2361,2,0.78531198130732
2362,7,0.627483409996298
2364,2,0.550444236499748
2366,4,0.276850984173965
2370,2,0.458868499076153
2372,9,0.484694432843797
2381,5,0.564770482942525
2382,5,0.603441842199118
2388,7,0.488859048280174
2391,9,0.465480260993852
2392,4,0.604247657429871
2394,4,0.755299214146149
2397,2,0.655613838017496
2400,3,0.404818330453649
2406,10,0.815741444694138
2407,11,0.364073544033733
2413,6,0.412492580998801
2417,10,0.569922931272257
2422,6,0.599098815320211
2423,4,0.343885316910354
2424,7,0.643037596882359
2427,5,0.77338680883744
2429,4,0.908870997185328
2430,6,0.54430179517378
2431,2,0.444971997769457
2433,11,0.386277184367831
2434,2,0.225691248896377
2435,10,0.405716593662777
2438,6,0.484182569784288
2444,3,0.300469777233082
2446,12,0.522654965008157
2452,5,0.608089990414995
2456,2,0.746509969333528
2457,5,0.347586367366087
2458,5,0.347586367366087
2464,7,0.350762001852305
2472,4,0.746870646255043
2473,10,0.383825465298053
2476,2,0.47020755299682
2480,10,0.661997521671411
2489,11,0.321163100952419
2494,12,0.23564170214234
2501,7,0.545203443199325
2506,7,0.558131179958848
2512,5,0.50464456176998
2515,3,0.453987099161284
2519,2,0.866690499008187
2523,11,0.344135398049955
2527,2,0.703569098801388
2528,7,0.9564082578031
2529,6,0.619322189543382
2531,5,0.394239018578197
2535,4,0.868696833703792
2539,4,0.570663901772364
2550,4,0.418828734133291
2560,5,0.500672908263886
2561,4,0.30326849447304
2564,5,0.604168917084965
2565,5,0.519172790224239
2566,3,0.457818522781951
2570,8,0.54808632961789
2571,5,0.783619656776352
2572,5,0.398662573082392
2574,5,0.327905400689585
2578,6,0.450027292537996
2583,6,0.927034574554166
2586,4,0.676364620195496
2588,6,0.668661355524549
2594,6,0.345284171978902
2598,7,0.437710865387213
2600,10,0.978625645788245
2606,4,0.808497710174886
2609,4,0.985208308620056
2610,5,0.537217320875311
2612,7,0.64841723131702
2613,7,0.643424448785524
2616,2,0.493318773208406
2619,5,0.761555861160045
2623,2,0.645185149157103
2625,9,0.379567813436355
2632,6,0.290200985206645
2636,4,0.498894847488413
2641,12,0.516992417260526
2643,7,0.217009730051163
2644,6,0.450209519635845
2648,2,0.386911551684789
2650,3,0.495240192731187
2651,6,0.302506440105257
2652,2,0.821859307765327
2653,7,0.667616208120377
2656,5,0.572517178937105
2659,2,0.629932763207873
2664,6,0.601445308451384
2669,5,0.491593794816422
2670,4,0.526146677430958
2671,5,0.453817388315055
2680,7,0.385306634196214
2681,3,0.568657885423434
2683,11,0.81892134743883
2685,5,0.514477428080875
2699,12,0.520707655037177
2702,7,0.53769993294494
2706,10,0.449996023152749
2709,2,0.448584229105605
2717,6,0.342674796061978
2721,4,0.620778152810432
2723,7,0.783068011981475
2726,7,0.499140264510426
2729,6,0.36766658136577
2730,5,0.664134877218654
2736,7,0.398671404329479
2737,8,0.598201238635271
2738,3,0.55804849862602
2743,12,0.317091066966231
2746,7,0.41295495708784
2749,5,0.796996096122606
2751,3,0.458446032576658
2755,2,0.594629551989495
2757,2,0.57659460392688
2765,2,0.435396510807555
2770,2,0.301538851358071
2775,2,0.749892717702352
2777,4,0.669560192126329
2784,7,0.40187257753745
2785,12,0.653497063084464
2787,6,0.62916752437005
2789,5,0.584406827554984
2796,7,0.901900672292392
2799,2,0.423382649111136
2800,7,0.547683160031344
2802,4,0.82373246289773
2804,7,0.484407553686204
2806,2,0.383044700176277
2809,6,0.805569747033247
2810,10,0.444592180421869
2812,2,0.901323448835447
2815,3,0.747725685963079
2816,3,0.583225653758759
2817,3,0.434555872281957
2819,4,0.849627382369613
2822,8,0.471408671181793
2829,5,0.609297743602793
2830,4,0.598089909818113
2837,4,0.834759051988404
2838,6,0.752645358175758
2848,7,0.474929816559274
2864,9,0.362672565677167
